metric,group,target,method,value,fold_sd,comparison_family,holm_p,paired_difference
AUPRC,0,E. coli BW25113,"ApexOracle, fine-tuned",0.7120549699259378,0.14656574790679372,fine_tune_vs_baseline,0.026394721055788842,0.14667475173591582
AUPRC,0,E. coli BW25113,"ApexOracle, zero-shot",0.5853667182978982,0.13716138552191995,strict_zero_shot_vs_baseline,0.5426914617076585,0.04359800746115117
AUPRC,0,E. coli BW25113,Chemprop baseline,0.5453534158171818,0.1327703670173152,,,
AUPRC,1,A. baumannii ATCC 17978,"ApexOracle, fine-tuned",0.4343605652272541,0.05260747361976826,fine_tune_vs_baseline,0.0005998800239952009,0.12414682680182004
AUPRC,1,A. baumannii ATCC 17978,"ApexOracle, zero-shot",0.3251473658231995,0.06589496611284985,strict_zero_shot_vs_baseline,0.5426914617076585,0.02876948443572025
AUPRC,1,A. baumannii ATCC 17978,Chemprop baseline,0.3035495405640783,0.022402137250314355,,,
AUPRC,2,S. aureus RN4220,"ApexOracle, fine-tuned",0.4012683278703581,0.03500364748605357,fine_tune_vs_baseline,0.026394721055788842,0.05983857049498781
AUPRC,2,S. aureus RN4220,"ApexOracle, zero-shot",0.16630366420857373,0.052877063421514006,strict_zero_shot_vs_baseline,0.0005998800239952009,-0.16896817833129826
AUPRC,2,S. aureus RN4220,Chemprop baseline,0.36616322654213035,0.0482571068258509,,,
AUROC,0,E. coli BW25113,"ApexOracle, fine-tuned",0.958844870458097,0.03341166119490065,fine_tune_vs_baseline,0.01199760047990402,0.08485207768744352
AUROC,0,E. coli BW25113,"ApexOracle, zero-shot",0.9398191260429671,0.03495240499033958,strict_zero_shot_vs_baseline,0.047590481903619274,0.06427280939476065
AUROC,0,E. coli BW25113,Chemprop baseline,0.8593249411289093,0.07451723521298471,,,
AUROC,1,A. baumannii ATCC 17978,"ApexOracle, fine-tuned",0.821999208253595,0.021380221632501823,fine_tune_vs_baseline,0.021795640871825634,0.04444290209143065
AUROC,1,A. baumannii ATCC 17978,"ApexOracle, zero-shot",0.7239069725000915,0.05126318127495904,strict_zero_shot_vs_baseline,0.047590481903619274,-0.0487959524801036
AUROC,1,A. baumannii ATCC 17978,Chemprop baseline,0.7758916736782926,0.03374819137623107,,,
AUROC,2,S. aureus RN4220,"ApexOracle, fine-tuned",0.9530901978974116,0.007756286863419512,fine_tune_vs_baseline,0.017996400719856028,0.04811726160175778
AUROC,2,S. aureus RN4220,"ApexOracle, zero-shot",0.7667588663988347,0.021414506557680135,strict_zero_shot_vs_baseline,0.0005998800239952009,-0.13136877424416205
AUROC,2,S. aureus RN4220,Chemprop baseline,0.9433738465806754,0.015965844087557413,,,
