bin_left,bin_right,bin_center,count,fraction
0.0,0.001,0.0005,9114,2.569518946174139e-06
0.001,0.002,0.0015,0,0.0
0.002,0.003,0.0025,0,0.0
0.003,0.004,0.0035,175,4.9337921393512654e-08
0.004,0.005,0.0045,1563,4.406581207889159e-07
0.005,0.006,0.0055,9133,2.5748756347825776e-06
0.006,0.007,0.0065,18854,5.315526685447358e-06
0.007,0.008,0.0075,26259,7.403225587841422e-06
0.008,0.009,0.0085,38593,1.0880562287656194e-05
0.009,0.01,0.0095,48728,1.3737932763789055e-05
0.01,0.011,0.0105,68276,1.9249119548934115e-05
0.011,0.012,0.0115,70569,1.9895587284678826e-05
0.012,0.013,0.0125,88024,2.4816692529957474e-05
0.013,0.014,0.0135,86024,2.4252830571174474e-05
0.014,0.015,0.0145,97167,2.7394387474533967e-05
0.015,0.016,0.0155,107674,3.0356636275000466e-05
0.016,0.017,0.0165,128316,3.617625555159983e-05
0.017,0.018,0.0175,133817,3.772715786923248e-05
0.018,0.019,0.0185,158776,4.476387318386495e-05
0.019,0.02,0.0195,161292,4.547321152801396e-05
0.02,0.021,0.0205,221163,6.235270119516251e-05
0.021,0.022,0.0215,246848,6.959409840083322e-05
0.022,0.023,0.0225,281937,7.948677453670158e-05
0.023,0.024,0.0235,299851,8.453728610152094e-05
0.024,0.025,0.0245,341983,9.641560212524364e-05
0.025,0.026,0.0255,460045,0.00012970093741416304
0.026,0.027,0.0265,438637,0.00012366535900734977
0.027,0.028,0.0275,577531,0.0001628238804589529
0.028,0.029,0.0285,648928,0.0001829529065945679
0.029,0.03,0.0295,675604,0.00019047369740081557
0.03,0.031,0.0305,827436,0.00023327984186378593
0.031,0.032,0.0315,915927,0.00025822819616111924
0.032,0.033,0.0325,1074613,0.00030296669555683896
0.033,0.034,0.0335,1174844,0.0003312249195522285
0.034,0.035,0.0345,1314498,0.00037059770854816916
0.035,0.036,0.0355,1520410,0.00042865068037663186
0.036,0.037,0.0365,1558739,0.0004394568128857287
0.037,0.038,0.0375,2002659,0.0005646116132572038
0.038,0.039,0.0385,2054979,0.0005793622420989671
0.039,0.04,0.0395,2022127,0.0005701002455639976
0.04,0.041,0.0405,2775729,0.0007825639954953914
0.041,0.042,0.0415,2754957,0.0007767077251914712
0.042,0.043,0.0425,2929585,0.0008259407682606501
0.043,0.044,0.0435,3328331,0.0009383596185690936
0.044,0.045,0.0445,3493287,0.000984865825205598
0.045,0.046,0.0455,3961119,0.0011167621591562826
0.046,0.047,0.0465,4032274,0.0011368229579948848
0.047,0.048,0.0475,4364834,0.0012305819245013224
0.048,0.049,0.0485,4683956,0.001320552302506697
0.049,0.05,0.0495,4361666,0.0012296887671586101
0.05,0.051,0.0505,5968872,0.0016828099288225067
0.051,0.052,0.0515,5565033,0.0015689552040360224
0.052,0.053,0.0525,6240954,0.0017595182735573051
0.053,0.054,0.0535,5956664,0.0016793681154260952
0.054,0.055,0.0545,6601843,0.0018612640627789245
0.055,0.056,0.0555,6922600,0.0019516953979356042
0.056,0.057,0.0565,7496858,0.0021135965182990085
0.057,0.058,0.0575,7349050,0.0020719248640971096
0.058,0.059,0.0585,7630681,0.0021513253677541175
0.059,0.06,0.0595,7764052,0.0021889267844065413
0.06,0.061,0.0605,8959108,0.0025258500929142306
0.061,0.062,0.0615,8523479,0.002403032782292891
0.062,0.063,0.0625,9171991,0.0025858684056000317
0.063,0.064,0.0635,9011054,0.002540495279569702
0.064,0.065,0.0645,9399611,0.002650041535129125
0.065,0.066,0.0655,10237576,0.002886289828274924
0.066,0.067,0.0665,9433696,0.0026596511525616845
0.067,0.068,0.0675,10596074,0.0029873615205248186
0.068,0.069,0.0685,11236092,0.003167802422093008
0.069,0.07,0.0695,9750941,0.002749092346118741
0.07,0.071,0.0705,10923831,0.0030797663725372387
0.071,0.072,0.0715,11392768,0.003211974240220151
0.072,0.073,0.0725,11592382,0.003268251610740406
0.073,0.074,0.0735,11206282,0.0031593980595973474
0.074,0.075,0.0745,11255762,0.003173348004457639
0.075,0.076,0.0755,12469059,0.003515414015960409
0.076,0.077,0.0765,13928509,0.003926878183833335
0.077,0.078,0.0775,10611398,0.002991681830853014
0.078,0.079,0.0785,12648714,0.003566064326062989
0.079,0.08,0.0795,10941845,0.003084845077199997
0.08,0.081,0.0805,14106745,0.003977128433876158
0.081,0.082,0.0815,12839450,0.0036198387133482062
0.082,0.083,0.0825,13447686,0.003791319284529375
0.083,0.084,0.0835,12192797,0.003437527199731754
0.084,0.085,0.0845,13018022,0.0036701836922001054
0.085,0.086,0.0855,13284287,0.003745252044427783
0.086,0.087,0.0865,14398428,0.004059362907738009
0.087,0.088,0.0875,12220194,0.003445251262774143
0.088,0.089,0.0885,13403888,0.003778971271493986
0.089,0.09,0.0895,13439975,0.003789145314747287
0.09,0.091,0.0905,15880669,0.004477252564562247
0.091,0.092,0.0915,11531798,0.003251171104284951
0.092,0.093,0.0925,13183924,0.003716956605543114
0.093,0.094,0.0935,14113981,0.003979168486443035
0.094,0.095,0.0945,13668571,0.0038535936089122667
0.095,0.096,0.0955,13637411,0.0038448086395944277
0.096,0.097,0.0965,13970693,0.003938771160267986
0.097,0.098,0.0975,13591417,0.003831841506128295
0.098,0.099,0.0985,13732734,0.0038716831463429637
0.099,0.1,0.0995,10361050,0.0029211009740243103
0.1,0.101,0.1005,16949284,0.0047785282381046955
0.101,0.102,0.1015,13880451,0.003913329144825738
0.102,0.103,0.1025,13710581,0.0038654375293565037
0.103,0.104,0.1035,13625140,0.0038413490645463145
0.104,0.105,0.1045,13724626,0.0038693972499620572
0.105,0.106,0.1055,13896051,0.003917727268104246
0.106,0.107,0.1065,13806546,0.0038924930357938092
