left_id,right_id,left_target_strain,right_target_strain,left_topology,right_topology,tanimoto
ApexOracle-1,ApexOracle-2,BAA-3197,BAA-3197,linear,linear,0.4968152866242038
ApexOracle-1,ApexOracle-3,BAA-3197,BAA-3197,linear,linear,0.5581395348837209
ApexOracle-1,ApexOracle-4,BAA-3197,BAA-3197,linear,linear,0.5185185185185185
ApexOracle-1,ApexOracle-5,BAA-3197,BAA-3197,linear,linear,0.8046875
ApexOracle-1,ApexOracle-6,BAA-3197,BAA-3197,linear,linear,0.644927536231884
ApexOracle-1,ApexOracle-7,BAA-3197,BAA-3197,linear,linear,0.5851851851851851
ApexOracle-1,ApexOracle-8,BAA-3197,BAA-3197,linear,linear,0.48175182481751827
ApexOracle-1,ApexOracle-9,BAA-3197,BAA-3197,linear,linear,0.49624060150375937
ApexOracle-1,ApexOracle-10,BAA-3197,BAA-3197,linear,linear,0.6950354609929078
ApexOracle-1,ApexOracle-11,BAA-3197,BAA-3197,linear,linear,0.7348484848484849
ApexOracle-1,ApexOracle-12,BAA-3197,BAA-3197,linear,linear,0.6012658227848101
ApexOracle-1,ApexOracle-13,BAA-3197,BAA-3197,linear,cyclic,0.17486338797814208
ApexOracle-1,ApexOracle-14,BAA-3197,BAA-3197,linear,cyclic,0.18994413407821228
ApexOracle-1,ApexOracle-15,BAA-3197,BAA-3197,linear,cyclic,0.21105527638190955
ApexOracle-1,ApexOracle-16,BAA-3197,BAA-3170,linear,linear,0.5912408759124088
ApexOracle-1,ApexOracle-17,BAA-3197,BAA-3170,linear,linear,0.5031055900621118
ApexOracle-1,ApexOracle-18,BAA-3197,BAA-3170,linear,linear,0.6299212598425197
ApexOracle-1,ApexOracle-19,BAA-3197,BAA-3170,linear,linear,0.4166666666666667
ApexOracle-1,ApexOracle-20,BAA-3197,BAA-3170,linear,linear,0.5681818181818182
ApexOracle-1,ApexOracle-21,BAA-3197,BAA-3170,linear,linear,0.49264705882352944
ApexOracle-1,ApexOracle-22,BAA-3197,BAA-3170,linear,cyclic,0.22043010752688172
ApexOracle-1,ApexOracle-23,BAA-3197,BAA-3170,linear,cyclic,0.16129032258064516
ApexOracle-1,ApexOracle-24,BAA-3197,BAA-3170,linear,cyclic,0.22994652406417113
ApexOracle-2,ApexOracle-3,BAA-3197,BAA-3197,linear,linear,0.4444444444444444
ApexOracle-2,ApexOracle-4,BAA-3197,BAA-3197,linear,linear,0.5362318840579711
ApexOracle-2,ApexOracle-5,BAA-3197,BAA-3197,linear,linear,0.5159235668789809
ApexOracle-2,ApexOracle-6,BAA-3197,BAA-3197,linear,linear,0.4625
ApexOracle-2,ApexOracle-7,BAA-3197,BAA-3197,linear,linear,0.5673758865248227
ApexOracle-2,ApexOracle-8,BAA-3197,BAA-3197,linear,linear,0.5441176470588235
ApexOracle-2,ApexOracle-9,BAA-3197,BAA-3197,linear,linear,0.5147058823529411
ApexOracle-2,ApexOracle-10,BAA-3197,BAA-3197,linear,linear,0.5375
ApexOracle-2,ApexOracle-11,BAA-3197,BAA-3197,linear,linear,0.5128205128205128
ApexOracle-2,ApexOracle-12,BAA-3197,BAA-3197,linear,linear,0.5662650602409639
ApexOracle-2,ApexOracle-13,BAA-3197,BAA-3197,linear,cyclic,0.27586206896551724
ApexOracle-2,ApexOracle-14,BAA-3197,BAA-3197,linear,cyclic,0.27167630057803466
ApexOracle-2,ApexOracle-15,BAA-3197,BAA-3197,linear,cyclic,0.25252525252525254
ApexOracle-2,ApexOracle-16,BAA-3197,BAA-3170,linear,linear,0.4240506329113924
ApexOracle-2,ApexOracle-17,BAA-3197,BAA-3170,linear,linear,0.5182926829268293
ApexOracle-2,ApexOracle-18,BAA-3197,BAA-3170,linear,linear,0.5735294117647058
ApexOracle-2,ApexOracle-19,BAA-3197,BAA-3170,linear,linear,0.39568345323741005
ApexOracle-2,ApexOracle-20,BAA-3197,BAA-3170,linear,linear,0.6090225563909775
ApexOracle-2,ApexOracle-21,BAA-3197,BAA-3170,linear,linear,0.5441176470588235
ApexOracle-2,ApexOracle-22,BAA-3197,BAA-3170,linear,cyclic,0.2717391304347826
ApexOracle-2,ApexOracle-23,BAA-3197,BAA-3170,linear,cyclic,0.2388888888888889
ApexOracle-2,ApexOracle-24,BAA-3197,BAA-3170,linear,cyclic,0.27419354838709675
ApexOracle-3,ApexOracle-4,BAA-3197,BAA-3197,linear,linear,0.7623762376237624
ApexOracle-3,ApexOracle-5,BAA-3197,BAA-3197,linear,linear,0.5111111111111111
ApexOracle-3,ApexOracle-6,BAA-3197,BAA-3197,linear,linear,0.48148148148148145
ApexOracle-3,ApexOracle-7,BAA-3197,BAA-3197,linear,linear,0.6846846846846847
ApexOracle-3,ApexOracle-8,BAA-3197,BAA-3197,linear,linear,0.4666666666666667
ApexOracle-3,ApexOracle-9,BAA-3197,BAA-3197,linear,linear,0.5221238938053098
ApexOracle-3,ApexOracle-10,BAA-3197,BAA-3197,linear,linear,0.5142857142857142
