dataset,bin_left,bin_right,bin_center,count,fraction
Peptide candidate pool,0.0,0.05,0.025,61,0.023211567732115676
Peptide candidate pool,0.05,0.1,0.07500000000000001,13,0.004946727549467275
Peptide candidate pool,0.1,0.15000000000000002,0.125,107,0.04071537290715373
Peptide candidate pool,0.15000000000000002,0.2,0.17500000000000002,218,0.08295281582952815
Peptide candidate pool,0.2,0.25,0.225,276,0.1050228310502283
Peptide candidate pool,0.25,0.30000000000000004,0.275,294,0.11187214611872145
Peptide candidate pool,0.30000000000000004,0.35000000000000003,0.32500000000000007,236,0.0898021308980213
Peptide candidate pool,0.35000000000000003,0.4,0.375,199,0.07572298325722983
Peptide candidate pool,0.4,0.45,0.42500000000000004,201,0.07648401826484018
Peptide candidate pool,0.45,0.5,0.475,203,0.07724505327245053
Peptide candidate pool,0.5,0.55,0.525,225,0.08561643835616438
Peptide candidate pool,0.55,0.6000000000000001,0.5750000000000001,212,0.0806697108066971
Peptide candidate pool,0.6000000000000001,0.65,0.625,149,0.05669710806697108
Peptide candidate pool,0.65,0.7000000000000001,0.675,113,0.04299847792998478
Peptide candidate pool,0.7000000000000001,0.75,0.7250000000000001,64,0.0243531202435312
Peptide candidate pool,0.75,0.8,0.775,39,0.014840182648401826
Peptide candidate pool,0.8,0.8500000000000001,0.8250000000000001,10,0.00380517503805175
Peptide candidate pool,0.8500000000000001,0.9,0.875,5,0.001902587519025875
Peptide candidate pool,0.9,0.9500000000000001,0.925,0,0.0
Peptide candidate pool,0.9500000000000001,1.0,0.9750000000000001,3,0.001141552511415525
Guided generation outputs,0.0,0.05,0.025,56596851,0.015956405632904846
Guided generation outputs,0.05,0.1,0.075,546810499,0.15416281952462532
Guided generation outputs,0.1,0.15,0.125,656007158,0.18494874054277508
Guided generation outputs,0.15,0.2,0.175,638344465,0.17996908020659366
Guided generation outputs,0.2,0.25,0.225,536105305,0.1511446936956293
Guided generation outputs,0.25,0.3,0.275,378729367,0.10677554136263318
Guided generation outputs,0.3,0.35,0.325,297499406,0.08387429890196976
Guided generation outputs,0.35,0.4,0.375,219733740,0.06194974852355742
Guided generation outputs,0.4,0.45,0.425,130609876,0.03682297025888249
Guided generation outputs,0.45,0.5,0.475,57261028,0.016143657705004155
Guided generation outputs,0.5,0.55,0.525,21368777,0.006024520228008578
Guided generation outputs,0.55,0.6,0.575,5944700,0.0016759950931886554
Guided generation outputs,0.6,0.65,0.625,1515812,0.00042735436173338973
Guided generation outputs,0.65,0.7,0.675,339009,9.557713939253333e-05
Guided generation outputs,0.7,0.75,0.725,75119,2.1178373240910156e-05
Guided generation outputs,0.75,0.8,0.775,17675,4.983130060744778e-06
Guided generation outputs,0.8,0.85,0.825,4388,1.2371131375699059e-06
Guided generation outputs,0.85,0.9,0.875,1427,4.0231550759167176e-07
Guided generation outputs,0.9,0.95,0.925,583,1.6436576098524501e-07
Guided generation outputs,0.95,1.0,0.975,2240,6.31525393836962e-07
