label,fold,test_fragments,train_genomes,test_genomes,test_positives,test_prevalence,auprc,auroc,iterations,display_label
AMR,0,1350,199,50,225,0.1666666666666666,0.2096450506970321,0.5835693827160493,11,AMR-associated
AMR,1,1452,199,50,242,0.1666666666666666,0.205113499160482,0.5753978553377501,10,AMR-associated
AMR,2,1626,199,50,271,0.1666666666666666,0.2002069665233981,0.5664356422162008,10,AMR-associated
AMR,3,1476,199,50,246,0.1666666666666666,0.2193251623782882,0.6095148390508295,10,AMR-associated
AMR,4,1398,200,49,233,0.1666666666666666,0.1998877166592401,0.5598592716756619,11,AMR-associated
Mobile element,0,7646,216,47,1577,0.2062516348417473,0.4886983383775097,0.7672295969004932,23,Mobile-element-associated
Mobile element,1,8593,211,52,1435,0.1669963924124287,0.3905313076513459,0.7381267809804192,20,Mobile-element-associated
Mobile element,2,10067,206,57,2168,0.2153571073805503,0.5012356347281925,0.7466508675721015,19,Mobile-element-associated
Mobile element,3,8706,210,53,1762,0.2023891569032851,0.4945827544767567,0.7843052511546892,19,Mobile-element-associated
Mobile element,4,9718,209,54,1901,0.195616381971599,0.3792032415596933,0.6864326842110328,20,Mobile-element-associated
