protocol,aggregation,group,censor_class,measurements,total_measurements,fraction
phylum,pooled,all_groups_pooled,inhouse_not_applicable,15015,85824,0.17495106263982102
phylum,pooled,all_groups_pooled,left_censored,397,85824,0.004625745712155108
phylum,pooled,all_groups_pooled,not_censored,55133,85824,0.6423960663683818
phylum,pooled,all_groups_pooled,right_censored,15264,85824,0.17785234899328858
phylum,pooled,all_groups_pooled,right_censored_double_angle,15,85824,0.00017477628635346757
phylum,group,0,left_censored,7,5328,0.001313813813813814
phylum,group,0,not_censored,4176,5328,0.7837837837837838
phylum,group,0,right_censored,1145,5328,0.2149024024024024
phylum,group,1,inhouse_not_applicable,10381,44959,0.23089926377366043
phylum,group,1,left_censored,188,44959,0.004181587668764875
phylum,group,1,not_censored,26578,44959,0.5911608354278343
phylum,group,1,right_censored,7804,44959,0.17358037322894193
phylum,group,1,right_censored_double_angle,8,44959,0.0001779399007985053
phylum,group,2,inhouse_not_applicable,4634,35537,0.13039930213580211
phylum,group,2,left_censored,202,35537,0.005684216450460084
phylum,group,2,not_censored,24379,35537,0.6860173903255762
phylum,group,2,right_censored,6315,35537,0.17770211329037341
phylum,group,2,right_censored_double_angle,7,35537,0.00019697779778822072
strain,pooled,all_groups_pooled,inhouse_not_applicable,15015,86358,0.17386924199263531
strain,pooled,all_groups_pooled,left_censored,400,86358,0.004631881238565044
strain,pooled,all_groups_pooled,not_censored,55986,86358,0.6483012575557563
strain,pooled,all_groups_pooled,right_censored,14939,86358,0.17298918455730794
strain,pooled,all_groups_pooled,right_censored_double_angle,18,86358,0.00020843465573542694
strain,group,0,inhouse_not_applicable,12053,71419,0.16876461445833743
strain,group,0,left_censored,286,71419,0.004004536607905459
strain,group,0,not_censored,46643,71419,0.6530895139948754
strain,group,0,right_censored,12423,71419,0.17394530867136196
strain,group,0,right_censored_double_angle,14,71419,0.00019602626751984766
strain,group,1,inhouse_not_applicable,2962,8146,0.36361404370243067
strain,group,1,left_censored,49,8146,0.006015222194942303
strain,group,1,not_censored,4006,8146,0.49177510434569116
strain,group,1,right_censored,1129,8146,0.13859562975693593
strain,group,2,left_censored,65,6793,0.009568673634623878
strain,group,2,not_censored,5337,6793,0.7856617105844251
strain,group,2,right_censored,1387,6793,0.20418077432651258
strain,group,2,right_censored_double_angle,4,6793,0.0005888414544383925
