protocol,scenario,aggregation,group,measurements,unique_molecules,pathogens,right_censored_measurements,left_censored_measurements,double_angle_measurements,r2,mae,rmse,spearman,pearson,r2_sample_sd,mae_sample_sd,rmse_sample_sd,spearman_sample_sd,pearson_sample_sd,r2_paper_legacy,mae_paper_legacy,rmse_paper_legacy,spearman_paper_legacy,pearson_paper_legacy,r2_multiplier_2,mae_multiplier_2,rmse_multiplier_2,spearman_multiplier_2,pearson_multiplier_2,delta_r2_vs_paper_legacy,delta_r2_vs_multiplier_2,delta_mae_vs_paper_legacy,delta_mae_vs_multiplier_2,delta_rmse_vs_paper_legacy,delta_rmse_vs_multiplier_2,delta_spearman_vs_paper_legacy,delta_spearman_vs_multiplier_2,delta_pearson_vs_paper_legacy,delta_pearson_vs_multiplier_2
phylum,paper_legacy,group,0,5328,3288.0,148.0,1145,7,0,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,,,,,,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,0.0,0.00013819039478568662,0.0,-5.649962381082396e-05,0.0,-9.280997664162793e-05,0.0,9.247626174124779e-05,0.0,7.382830947189056e-05
phylum,paper_legacy,group,1,44959,14723.0,627.0,7804,188,8,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,,,,,,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,0.0,0.00012522142357773713,0.0,-0.00014588455831987535,0.0,-0.00012508329568861054,0.0,0.00011794157980238307,0.0,7.318734998651433e-05
phylum,paper_legacy,group,2,35537,14140.0,636.0,6315,202,7,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,,,,,,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,0.0,0.0001493349218221196,0.0,-0.00012297541064465456,0.0,-0.00011240161571146601,0.0,0.00017187800157936195,0.0,0.0001155148233891179
phylum,paper_legacy,pooled,all_groups_pooled,85824,16540.0,1411.0,15264,397,15,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,,,,,,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,0.0,0.00013550464037492826,0.0,-0.00013065931194333746,0.0,-0.00011768618383600771,0.0,0.00014593716774113918,0.0,9.826532254875175e-05
phylum,paper_legacy,mean_across_groups,mean_across_groups,85824,,,15264,397,15,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.06882308964555717,0.013914656182668716,0.01972382930753746,0.04699029965372565,0.02290149085903281,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,0.0,0.00013758224672849595,0.0,-0.00010845319759178462,0.0,-0.0001100982960139385,0.0,0.00012743194770770128,0.0,8.751016094921127e-05
phylum,right_censored_multiplier_1,group,0,5328,3288.0,148.0,1145,7,0,0.2920626034423386,0.4991424782827424,0.6431169530342541,0.5769462380440711,0.6299560505403117,,,,,,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,-0.017427368136150423,-0.017289177741364736,-0.031066916201328176,-0.031123415825139,-0.04110913556593543,-0.041201945542577056,-0.0030088400168662988,-0.002916363755125051,-0.0038625182246724288,-0.003788689915200538
phylum,right_censored_multiplier_1,group,1,44951,14719.0,627.0,7804,188,0,0.42405541433453775,0.531666261668765,0.693478400407835,0.6677152654053484,0.6726848447762198,,,,,,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,0.006949203138990168,0.007074424562567905,-0.02630118415583038,-0.026447068714150257,-0.030052907677283414,-0.030177990972972024,-0.00469856079171338,-0.004580619211910997,-0.006325816983139609,-0.006252629633153095
phylum,right_censored_multiplier_1,group,2,35530,14137.0,636.0,6315,202,0,0.4250422084976839,0.5186500901306892,0.6797672036741615,0.6399650839727409,0.6615548423115046,,,,,,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,-0.012578905790008088,-0.012429570868185968,-0.027161962634798198,-0.027284938045442853,-0.027012032306550804,-0.02712443392226227,-0.0008070240497296544,-0.0006351460481502924,-0.0013166219337152896,-0.0012011071103261717
phylum,right_censored_multiplier_1,pooled,all_groups_pooled,85809,16538.0,1411.0,15264,397,0,0.42161747627307844,0.5242573501020464,0.6847893752305831,0.640354286992955,0.6555067840942086,,,,,,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,-0.0016627120656557137,-0.0015272074252807855,-0.026953697737325144,-0.02708435704926848,-0.029452283918736,-0.029569970102572007,-0.00344108827733558,-0.003295151109594441,-0.004550970407564026,-0.004452705085015274
phylum,right_censored_multiplier_1,mean_across_groups,mean_across_groups,85809,,,15264,397,0,0.38038674209152007,0.5164862766940655,0.6721208523720836,0.6282088624740535,0.6547319125426787,0.0764925391248714,0.01636950481464282,0.02603687503458476,0.04651247832542068,0.022166455336530295,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,-0.007685690262389466,-0.00754810801566097,-0.02817668766398551,-0.028285140861577296,-0.032724691849923104,-0.03283479014593704,-0.0028381416194365183,-0.002710709671728817,-0.0038349857138424426,-0.0037474755528932313
phylum,right_censored_multiplier_2,group,0,5328,3288.0,148.0,1145,7,0,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,,,,,,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,-0.00013819039478568662,0.0,5.649962381082396e-05,0.0,9.280997664162793e-05,0.0,-9.247626174124779e-05,0.0,-7.382830947189056e-05,0.0
