protocol,scenario,aggregation,group,measurements,unique_molecules,pathogens,right_censored_measurements,left_censored_measurements,double_angle_measurements,r2,mae,rmse,spearman,pearson,r2_sample_sd,mae_sample_sd,rmse_sample_sd,spearman_sample_sd,pearson_sample_sd
phylum,paper_legacy,group,0,5328,3288.0,148.0,1145,7,0,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,,,,,
phylum,paper_legacy,group,1,44959,14723.0,627.0,7804,188,8,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,,,,,
phylum,paper_legacy,group,2,35537,14140.0,636.0,6315,202,7,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,,,,,
phylum,paper_legacy,pooled,all_groups_pooled,85824,16540.0,1411.0,15264,397,15,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,,,,,
phylum,paper_legacy,mean_across_groups,mean_across_groups,85824,,,15264,397,15,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.06882308964555717,0.013914656182668716,0.01972382930753746,0.04699029965372565,0.02290149085903281
phylum,right_censored_multiplier_1,group,0,5328,3288.0,148.0,1145,7,0,0.2920626034423386,0.4991424782827424,0.6431169530342541,0.5769462380440711,0.6299560505403117,,,,,
phylum,right_censored_multiplier_1,group,1,44951,14719.0,627.0,7804,188,0,0.42405541433453775,0.531666261668765,0.693478400407835,0.6677152654053484,0.6726848447762198,,,,,
phylum,right_censored_multiplier_1,group,2,35530,14137.0,636.0,6315,202,0,0.4250422084976839,0.5186500901306892,0.6797672036741615,0.6399650839727409,0.6615548423115046,,,,,
phylum,right_censored_multiplier_1,pooled,all_groups_pooled,85809,16538.0,1411.0,15264,397,0,0.42161747627307844,0.5242573501020464,0.6847893752305831,0.640354286992955,0.6555067840942086,,,,,
phylum,right_censored_multiplier_1,mean_across_groups,mean_across_groups,85809,,,15264,397,0,0.38038674209152007,0.5164862766940655,0.6721208523720836,0.6282088624740535,0.6547319125426787,0.0764925391248714,0.01636950481464282,0.02603687503458476,0.04651247832542068,0.022166455336530295
phylum,right_censored_multiplier_2,group,0,5328,3288.0,148.0,1145,7,0,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,,,,,
phylum,right_censored_multiplier_2,group,1,44951,14719.0,627.0,7804,188,0,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,,,,,
phylum,right_censored_multiplier_2,group,2,35530,14137.0,636.0,6315,202,0,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,,,,,
phylum,right_censored_multiplier_2,pooled,all_groups_pooled,85809,16538.0,1411.0,15264,397,0,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,,,,,
phylum,right_censored_multiplier_2,mean_across_groups,mean_across_groups,85809,,,15264,397,0,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,0.06882181453303456,0.013960136784075717,0.019740077070098158,0.04697088774764854,0.022897871803708045
phylum,right_censored_multiplier_4,group,0,5328,3288.0,148.0,1145,7,0,0.299720281281215,0.5885220639680131,0.7496224391508346,0.573234647024684,0.6275902492525504,,,,,
phylum,right_censored_multiplier_4,group,1,44951,14719.0,627.0,7804,188,0,0.39448623668159755,0.6065695543304875,0.7732462948728934,0.6711606896543464,0.6764915970878463,,,,,
phylum,right_censored_multiplier_4,group,2,35530,14137.0,636.0,6315,202,0,0.43014403307565496,0.5949789744849437,0.7546660618685882,0.6363733969990448,0.6564131619967367,,,,,
phylum,right_censored_multiplier_4,pooled,all_groups_pooled,85809,16538.0,1411.0,15264,397,0,0.40719379299898895,0.6006497751632273,0.7641474461906227,0.6410522786435362,0.6561522331354098,,,,,
