protocol,group,cohort,model,measurements,unique_molecules,pathogens,low_mic_16um_measurements,low_mic_16um_fraction,r2,spearman,pearson
strain,0,full,apexoracle_ensemble,71419,15892,431,33742,0.4724513084753357,0.4138021609451574,0.6323250710987822,0.6457931746413726
strain,0,full,peptide_mean_or_train_mean,71419,15892,431,33742,0.4724513084753357,0.3716409451802095,0.5934492581763819,0.6341041880848988
strain,0,full,training_mean_constant,71419,15892,431,33742,0.4724513084753357,-0.0008685431718902237,,
strain,0,full,always_512um_constant,71419,15892,431,33742,0.4724513084753357,-1.9885440456026724,,
strain,0,train_seen,apexoracle_ensemble,45774,8160,418,20086,0.4388080569755757,0.5264251053676199,0.7239636221339509,0.7281988258674315
strain,0,train_seen,peptide_mean_or_train_mean,45774,8160,418,20086,0.4388080569755757,0.5238753716859378,0.7480623909381962,0.748533194104357
strain,0,train_seen,training_mean_constant,45774,8160,418,20086,0.4388080569755757,-0.004130509333251542,,
strain,0,train_seen,always_512um_constant,45774,8160,418,20086,0.4388080569755757,-1.5667728788626833,,
strain,0,train_unseen,apexoracle_ensemble,25645,7732,206,13656,0.5325014622733476,0.09234680671877216,0.4048229956956996,0.41079173608587044
strain,0,train_unseen,peptide_mean_or_train_mean,25645,7732,206,13656,0.5325014622733476,-0.05297867801913547,,
strain,0,train_unseen,training_mean_constant,25645,7732,206,13656,0.5325014622733476,-0.05297867801913547,,
strain,0,train_unseen,always_512um_constant,25645,7732,206,13656,0.5325014622733476,-3.240256490280885,,
strain,1,full,apexoracle_ensemble,8146,5292,412,3388,0.41590964890743926,0.6837493200225365,0.8323606115818694,0.8325692838590156
strain,1,full,peptide_mean_or_train_mean,8146,5292,412,3388,0.41590964890743926,0.6558874461139214,0.8203972418315084,0.8147470183056266
strain,1,full,training_mean_constant,8146,5292,412,3388,0.41590964890743926,-0.016945937636466457,,
strain,1,full,always_512um_constant,8146,5292,412,3388,0.41590964890743926,-1.3484214451018328,,
strain,1,train_seen,apexoracle_ensemble,7783,4960,406,3181,0.4087112938455608,0.6977426456577989,0.8416132993749633,0.8416960408745776
strain,1,train_seen,peptide_mean_or_train_mean,7783,4960,406,3181,0.4087112938455608,0.6740607347222686,0.8346511970024619,0.8251891504622688
strain,1,train_seen,training_mean_constant,7783,4960,406,3181,0.4087112938455608,-0.021857172809776504,,
strain,1,train_seen,always_512um_constant,7783,4960,406,3181,0.4087112938455608,-1.2903159033416385,,
strain,1,train_unseen,apexoracle_ensemble,363,332,36,207,0.5702479338842975,0.06895124038768541,0.4411061616690558,0.44196705922739854
strain,1,train_unseen,peptide_mean_or_train_mean,363,332,36,207,0.5702479338842975,-0.12352255624417241,,
strain,1,train_unseen,training_mean_constant,363,332,36,207,0.5702479338842975,-0.12352255624417241,,
strain,1,train_unseen,always_512um_constant,363,332,36,207,0.5702479338842975,-4.197150514370403,,
strain,2,full,apexoracle_ensemble,6793,4742,419,3466,0.510231120270867,0.6467269092763713,0.7790131467280967,0.8044381040726173
strain,2,full,peptide_mean_or_train_mean,6793,4742,419,3466,0.510231120270867,0.5581443627422253,0.7240127212218946,0.7581046368755775
strain,2,full,training_mean_constant,6793,4742,419,3466,0.510231120270867,-0.031226089738031204,,
strain,2,full,always_512um_constant,6793,4742,419,3466,0.510231120270867,-2.4244476497274334,,
strain,2,train_seen,apexoracle_ensemble,6529,4524,405,3373,0.5166181651095114,0.6606157670109702,0.7861588172075598,0.8129133429725284
strain,2,train_seen,peptide_mean_or_train_mean,6529,4524,405,3373,0.5166181651095114,0.574784446238995,0.7328822070773608,0.7696430211443949
strain,2,train_seen,training_mean_constant,6529,4524,405,3373,0.5166181651095114,-0.035570331204852534,,
strain,2,train_seen,always_512um_constant,6529,4524,405,3373,0.5166181651095114,-2.451566067099026,,
strain,2,train_unseen,apexoracle_ensemble,264,218,43,93,0.3522727272727273,0.1653453002290045,0.498500211031403,0.4829741610311916
strain,2,train_unseen,peptide_mean_or_train_mean,264,218,43,93,0.3522727272727273,-0.020878258782042636,,
strain,2,train_unseen,training_mean_constant,264,218,43,93,0.3522727272727273,-0.020878258782042636,,
strain,2,train_unseen,always_512um_constant,264,218,43,93,0.3522727272727273,-1.989826306162151,,
strain,all_groups_pooled,full,apexoracle_ensemble,86358,16560,1204,40596,0.4700896269019662,0.46384816349880953,0.6681010737949375,0.6825757523963735
strain,all_groups_pooled,full,peptide_mean_or_train_mean,86358,16560,1204,40596,0.4700896269019662,0.4197885863263052,0.6299242030094467,0.667054248489233
strain,all_groups_pooled,full,training_mean_constant,86358,16560,1204,40596,0.4700896269019662,-0.0011084763161839373,-0.011424083942766741,-0.027241211829663128
strain,all_groups_pooled,full,always_512um_constant,86358,16560,1204,40596,0.4700896269019662,-1.9408914462887834,,
strain,all_groups_pooled,train_seen,apexoracle_ensemble,60086,9248,1174,26640,0.4433645108677562,0.5671772167094156,0.7498789904821073,0.7555100439418703
strain,all_groups_pooled,train_seen,peptide_mean_or_train_mean,60086,9248,1174,26640,0.4433645108677562,0.5533900087379837,0.7595169468163574,0.7623178448357064
strain,all_groups_pooled,train_seen,training_mean_constant,60086,9248,1174,26640,0.4433645108677562,-0.002487083792467315,0.022970629657784687,-0.0009118502651749441
strain,all_groups_pooled,train_seen,always_512um_constant,60086,9248,1174,26640,0.4433645108677562,-1.5977610783023666,,
strain,all_groups_pooled,train_unseen,apexoracle_ensemble,26272,8259,282,13956,0.5312119366626066,0.09424510399628483,0.4069763767587733,0.41298040018251175
strain,all_groups_pooled,train_unseen,peptide_mean_or_train_mean,26272,8259,282,13956,0.5312119366626066,-0.05185617586273383,-0.012423715072146735,0.0027524915413153998
strain,all_groups_pooled,train_unseen,training_mean_constant,26272,8259,282,13956,0.5312119366626066,-0.05185617586273383,-0.012423715072146735,0.0027524915413153998
strain,all_groups_pooled,train_unseen,always_512um_constant,26272,8259,282,13956,0.5312119366626066,-3.232336165002957,,
