protocol,group,cohort,model,measurements,unique_molecules,pathogens,low_mic_16um_measurements,low_mic_16um_fraction,r2,spearman,pearson
strain,0,full,apexoracle_ensemble,71419,15892,431,33742,0.4724513084753357,0.4075944006904225,0.6301881742890489,0.6426992102655068
strain,0,full,peptide_mean_or_train_mean,71419,15892,431,33742,0.4724513084753357,0.3716409451802095,0.5934694718471232,0.6341041880848988
strain,0,full,training_mean_constant,71419,15892,431,33742,0.4724513084753357,-0.0008685431718902237,,
strain,0,full,always_512um_constant,71419,15892,431,33742,0.4724513084753357,-1.9885440456026724,,
strain,0,train_seen,apexoracle_ensemble,45774,8160,418,20086,0.4388080569755757,0.5198805692578152,0.7227608405997689,0.7260411004420052
strain,0,train_seen,peptide_mean_or_train_mean,45774,8160,418,20086,0.4388080569755757,0.5238753716859378,0.7481094471431461,0.748533194104357
strain,0,train_seen,training_mean_constant,45774,8160,418,20086,0.4388080569755757,-0.004130509333251542,,
strain,0,train_seen,always_512um_constant,45774,8160,418,20086,0.4388080569755757,-1.5667728788626833,,
strain,0,train_unseen,apexoracle_ensemble,25645,7732,206,13656,0.5325014622733476,0.08661991699293747,0.40108471832223574,0.40683585201444605
strain,0,train_unseen,peptide_mean_or_train_mean,25645,7732,206,13656,0.5325014622733476,-0.05297867801913547,,
strain,0,train_unseen,training_mean_constant,25645,7732,206,13656,0.5325014622733476,-0.05297867801913547,,
strain,0,train_unseen,always_512um_constant,25645,7732,206,13656,0.5325014622733476,-3.240256490280885,,
strain,1,full,apexoracle_ensemble,8146,5292,412,3388,0.41590964890743926,0.6892215084273909,0.8345800919233161,0.8350844245684694
strain,1,full,peptide_mean_or_train_mean,8146,5292,412,3388,0.41590964890743926,0.6558874461139214,0.8203954941135633,0.8147470183056266
strain,1,full,training_mean_constant,8146,5292,412,3388,0.41590964890743926,-0.016945937636466457,,
strain,1,full,always_512um_constant,8146,5292,412,3388,0.41590964890743926,-1.3484214451018328,,
strain,1,train_seen,apexoracle_ensemble,7783,4960,406,3181,0.4087112938455608,0.7041077549255499,0.8443195643333865,0.8446708919987587
strain,1,train_seen,peptide_mean_or_train_mean,7783,4960,406,3181,0.4087112938455608,0.6740607347222686,0.8346493254227432,0.8251891504622688
strain,1,train_seen,training_mean_constant,7783,4960,406,3181,0.4087112938455608,-0.021857172809776504,,
strain,1,train_seen,always_512um_constant,7783,4960,406,3181,0.4087112938455608,-1.2903159033416385,,
strain,1,train_unseen,apexoracle_ensemble,363,332,36,207,0.5702479338842975,0.04252399367171211,0.43047073881415776,0.43456246397311693
strain,1,train_unseen,peptide_mean_or_train_mean,363,332,36,207,0.5702479338842975,-0.12352255624417241,,
strain,1,train_unseen,training_mean_constant,363,332,36,207,0.5702479338842975,-0.12352255624417241,,
strain,1,train_unseen,always_512um_constant,363,332,36,207,0.5702479338842975,-4.197150514370403,,
strain,2,full,apexoracle_ensemble,6793,4742,419,3466,0.510231120270867,0.6445299860425151,0.7784637869332527,0.803248151776706
strain,2,full,peptide_mean_or_train_mean,6793,4742,419,3466,0.510231120270867,0.5581443627422253,0.7240105655078091,0.7581046368755775
strain,2,full,training_mean_constant,6793,4742,419,3466,0.510231120270867,-0.031226089738031204,,
strain,2,full,always_512um_constant,6793,4742,419,3466,0.510231120270867,-2.4244476497274334,,
strain,2,train_seen,apexoracle_ensemble,6529,4524,405,3373,0.5166181651095114,0.6595004160179789,0.7866436306242868,0.8123357209974984
strain,2,train_seen,peptide_mean_or_train_mean,6529,4524,405,3373,0.5166181651095114,0.574784446238995,0.7328798343193945,0.7696430211443949
strain,2,train_seen,training_mean_constant,6529,4524,405,3373,0.5166181651095114,-0.035570331204852534,,
strain,2,train_seen,always_512um_constant,6529,4524,405,3373,0.5166181651095114,-2.451566067099026,,
strain,2,train_unseen,apexoracle_ensemble,264,218,43,93,0.3522727272727273,0.12877047640739703,0.46948347871374196,0.4592333940637841
strain,2,train_unseen,peptide_mean_or_train_mean,264,218,43,93,0.3522727272727273,-0.020878258782042636,,
strain,2,train_unseen,training_mean_constant,264,218,43,93,0.3522727272727273,-0.020878258782042636,,
strain,2,train_unseen,always_512um_constant,264,218,43,93,0.3522727272727273,-1.989826306162151,,
strain,all_groups_pooled,full,apexoracle_ensemble,86358,16560,1204,40596,0.4700896269019662,0.45925704963651803,0.6668139218482015,0.6804205110666894
strain,all_groups_pooled,full,peptide_mean_or_train_mean,86358,16560,1204,40596,0.4700896269019662,0.4197885863263052,0.6299400649767153,0.667054248489233
strain,all_groups_pooled,full,training_mean_constant,86358,16560,1204,40596,0.4700896269019662,-0.0011084763161839373,-0.011424083942766741,-0.027241211829663128
strain,all_groups_pooled,full,always_512um_constant,86358,16560,1204,40596,0.4700896269019662,-1.9408914462887834,,
strain,all_groups_pooled,train_seen,apexoracle_ensemble,60086,9248,1174,26640,0.4433645108677562,0.5630262280957449,0.7493419599080167,0.7541828622720799
strain,all_groups_pooled,train_seen,peptide_mean_or_train_mean,60086,9248,1174,26640,0.4433645108677562,0.5533900087379835,0.7595485001879051,0.7623178448357064
strain,all_groups_pooled,train_seen,training_mean_constant,60086,9248,1174,26640,0.4433645108677562,-0.002487083792467315,0.022970629657784687,-0.0009118502651749441
strain,all_groups_pooled,train_seen,always_512um_constant,60086,9248,1174,26640,0.4433645108677562,-1.5977610783023666,,
strain,all_groups_pooled,train_unseen,apexoracle_ensemble,26272,8259,282,13956,0.5312119366626066,0.08795226244542775,0.40301324600140576,0.40883375494992374
strain,all_groups_pooled,train_unseen,peptide_mean_or_train_mean,26272,8259,282,13956,0.5312119366626066,-0.05185617586273383,-0.012423715072146735,0.0027524915413153998
strain,all_groups_pooled,train_unseen,training_mean_constant,26272,8259,282,13956,0.5312119366626066,-0.05185617586273383,-0.012423715072146735,0.0027524915413153998
strain,all_groups_pooled,train_unseen,always_512um_constant,26272,8259,282,13956,0.5312119366626066,-3.232336165002957,,
