protocol,group,cohort,model,measurements,unique_molecules,pathogens,low_mic_16um_measurements,low_mic_16um_fraction,r2,spearman,pearson
phylum,0,full,apexoracle_ensemble,5328,3288,148,2232,0.4189189189189189,0.30948997205763296,0.5799557516640708,0.6338185689464942
phylum,0,full,peptide_mean_or_train_mean,5328,3288,148,2232,0.4189189189189189,0.35174976927370016,0.6047907945306804,0.6525904924467334
phylum,0,full,training_mean_constant,5328,3288,148,2232,0.4189189189189189,-1.2101233034522707e-05,,
phylum,0,full,always_512um_constant,5328,3288,148,2232,0.4189189189189189,-2.5369832148133287,,
phylum,0,train_seen,apexoracle_ensemble,4728,3002,135,1990,0.4208967851099831,0.34841223502586294,0.6033132078011506,0.664081044957383
phylum,0,train_seen,peptide_mean_or_train_mean,4728,3002,135,1990,0.4208967851099831,0.39783525145097876,0.6523162372883684,0.6943878427269895
phylum,0,train_seen,training_mean_constant,4728,3002,135,1990,0.4208967851099831,-7.81367231765806e-05,,
phylum,0,train_seen,always_512um_constant,4728,3002,135,1990,0.4208967851099831,-2.563775419958417,,
phylum,0,train_unseen,apexoracle_ensemble,600,286,56,242,0.4033333333333333,0.010909591715050682,0.3891974651180709,0.3845133559046564
phylum,0,train_unseen,peptide_mean_or_train_mean,600,286,56,242,0.4033333333333333,-0.0014518769033635692,,
phylum,0,train_unseen,training_mean_constant,600,286,56,242,0.4033333333333333,-0.0014518769033635692,,
phylum,0,train_unseen,always_512um_constant,600,286,56,242,0.4033333333333333,-2.339254997789211,,
phylum,1,full,apexoracle_ensemble,44959,14723,627,19507,0.4338842056095554,0.41710620991942005,0.6724138485023843,0.6790106621898774
phylum,1,full,peptide_mean_or_train_mean,44959,14723,627,19507,0.4338842056095554,0.4870716225301298,0.7199503259940649,0.7217115574972676
phylum,1,full,training_mean_constant,44959,14723,627,19507,0.4338842056095554,-0.021408853872907363,,
phylum,1,full,always_512um_constant,44959,14723,627,19507,0.4338842056095554,-1.6890500818724474,,
phylum,1,train_seen,apexoracle_ensemble,41510,12867,589,17248,0.4155143338954469,0.42867568771043285,0.6896471112630107,0.6974670362986303
phylum,1,train_seen,peptide_mean_or_train_mean,41510,12867,589,17248,0.4155143338954469,0.525024041529296,0.7552936806326527,0.7519057859317929
phylum,1,train_seen,training_mean_constant,41510,12867,589,17248,0.4155143338954469,-0.03725828349814009,,
phylum,1,train_seen,always_512um_constant,41510,12867,589,17248,0.4155143338954469,-1.6078641372224043,,
phylum,1,train_unseen,apexoracle_ensemble,3449,1856,173,2259,0.6549724557842853,0.07520478846598688,0.37023227139740306,0.36992429927410464
phylum,1,train_unseen,peptide_mean_or_train_mean,3449,1856,173,2259,0.6549724557842853,-0.16443748144412074,,
phylum,1,train_unseen,training_mean_constant,3449,1856,173,2259,0.6549724557842853,-0.16443748144412074,,
phylum,1,train_unseen,always_512um_constant,3449,1856,173,2259,0.6549724557842853,-3.61750133396278,,
phylum,2,full,apexoracle_ensemble,35537,14140,636,17711,0.4983819680895968,0.4376211154340415,0.6407719024307708,0.6628714646851803
phylum,2,full,peptide_mean_or_train_mean,35537,14140,636,17711,0.4983819680895968,0.445498324017673,0.6779017838218689,0.696852841900787
phylum,2,full,training_mean_constant,35537,14140,636,17711,0.4983819680895968,-0.009167779167641,,
phylum,2,full,always_512um_constant,35537,14140,636,17711,0.4983819680895968,-2.100486203174838,,
phylum,2,train_seen,apexoracle_ensemble,33071,12791,588,16420,0.4965075141362523,0.4725861684435638,0.6672404152993449,0.6879278010445853
phylum,2,train_seen,peptide_mean_or_train_mean,33071,12791,588,16420,0.4965075141362523,0.47704853044887796,0.7029485635730854,0.717990251738187
phylum,2,train_seen,training_mean_constant,33071,12791,588,16420,0.4965075141362523,-0.006654753969705718,,
