identity_definition,train_measurement_instances,test_measurement_instances,test_train_seen_measurement_instances,test_train_seen_fraction,test_train_unseen_measurement_instances,train_unique_molecules,test_unique_molecules,test_train_seen_unique_molecules,test_train_unseen_unique_molecules,test_pathogens,test_train_unseen_pathogens,test_train_unseen_low_mic_threshold_um,test_train_unseen_low_mic_measurement_instances,test_train_unseen_low_mic_fraction,protocol,group_index,group_name,aggregation,membership_status
dbaasp_id,24527,71419,45666,0.6394096808972403,25753,8956,15969,8184,7785,431,206,16.0,13694,0.5317438745000582,strain,0,fold 1,group,deterministic_candidate_not_exact_2025
model_input_token_sha256,24527,71419,45774,0.6409218835323933,25645,8929,15892,8160,7732,431,206,16.0,13656,0.5325014622733476,strain,0,fold 1,group,deterministic_candidate_not_exact_2025
dbaasp_id,155970,8146,7782,0.9553154922661429,364,16408,5306,4973,333,412,36,16.0,208,0.5714285714285714,strain,1,fold 2,group,deterministic_candidate_not_exact_2025
model_input_token_sha256,155970,8146,7783,0.9554382519027743,363,16329,5292,4960,332,412,36,16.0,207,0.5702479338842975,strain,1,fold 2,group,deterministic_candidate_not_exact_2025
dbaasp_id,157127,6793,6528,0.9609892536434566,265,16520,4750,4529,221,419,43,16.0,93,0.35094339622641507,strain,2,fold 3,group,deterministic_candidate_not_exact_2025
model_input_token_sha256,157127,6793,6529,0.9611364640070661,264,16443,4742,4524,218,419,43,16.0,93,0.3522727272727273,strain,2,fold 3,group,deterministic_candidate_not_exact_2025
dbaasp_id,337624,86358,59976,0.6945042729104426,26382,41884,26025,17686,8339,1262,285,16.0,13995,0.5304753240846032,strain,-1,all_groups,fold_or_group_measurement_instances,deterministic_candidate_not_exact_2025
model_input_token_sha256,337624,86358,60086,0.695778040251048,26272,41701,25926,17644,8282,1262,285,16.0,13956,0.5312119366626066,strain,-1,all_groups,fold_or_group_measurement_instances,deterministic_candidate_not_exact_2025
dbaasp_id,166444,45,12,0.26666666666666666,33,16731,16,6,10,10,6,16.0,18,0.5454545454545454,species,0,Serinales,group,canonical_taxonomy_cluster_adapter
model_input_token_sha256,166444,45,12,0.26666666666666666,33,16651,16,6,10,10,6,16.0,18,0.5454545454545454,species,0,Serinales,group,canonical_taxonomy_cluster_adapter
dbaasp_id,166247,146,133,0.910958904109589,13,16729,106,94,12,38,4,16.0,9,0.6923076923076923,species,1,Betaproteobacteria,group,canonical_taxonomy_cluster_adapter
model_input_token_sha256,166247,146,133,0.910958904109589,13,16649,106,94,12,38,4,16.0,9,0.6923076923076923,species,1,Betaproteobacteria,group,canonical_taxonomy_cluster_adapter
