species,current_name,current_genus,tax_id,family,trained_species_in_family,trained_family_examples,group,clinical_syndrome,species_in_training,genus_in_training,unseen_level,atcc_products,atcc_orderable_with_genome,atcc_type_strain_available,biosafety_levels,atcc_numbers_with_genome,note,panel_ready
Morganella morganii,Morganella morganii,Morganella,582,Morganellaceae,4,Proteus hauseri; Proteus mirabilis; Proteus vulgaris; Xenorhabdus japonica,gram_negative_enterobacterales,"UTI, post-operative wound and bloodstream infection",False,False,genus,38,24,True,BSL 2,23585; 25829; 25830; 27974; 27975; 29853; 29884; 33791; 35200; 49948; 49991; 49992; 49993; 49994; 51202; 51203; 51204; 51205; 51206; 51207; 51596; 79; 8019; 9237,intrinsic polymyxin and 1st-gen cephalosporin resistance,True
Pantoea agglomerans,Pantoea agglomerans,Pantoea,549,Erwiniaceae,0,,gram_negative_enterobacterales,"line and infusate-associated bacteraemia, septic arthritis",False,False,genus,41,15,True,BSL 1,13329; 23374; 27155; 27987; 29002; 29904; 33243; 39049; 43348; 49016; 49018; 49019; 49020; 49021; 49174,,True
Providencia stuartii,Providencia stuartii,Providencia,588,Morganellaceae,4,Proteus hauseri; Proteus mirabilis; Proteus vulgaris; Xenorhabdus japonica,gram_negative_enterobacterales,"catheter-associated UTI, MDR nosocomial bacteraemia",False,False,genus,13,11,True,BSL 1,25827; 29851; 29914; 33672; 33700; 35031; 43258; 43664; 43665; 49762; 49809,intrinsic polymyxin resistance via lipid A L-Ara4N,True
Erysipelothrix rhusiopathiae,Erysipelothrix rhusiopathiae,Erysipelothrix,1648,Erysipelotrichaceae,0,,gram_positive,"erysipeloid, occupational zoonosis, endocarditis",False,False,genus,51,7,True,BSL 2,10735; 19414; 35424; 35427; 35456; 35460; 35462,,True
Hafnia alvei,Hafnia alvei,Hafnia,569,Hafniaceae,2,Edwardsiella ictaluri; Edwardsiella tarda,gram_negative_enterobacterales,"opportunistic bacteraemia, gastroenteritis",False,False,genus,8,6,True,BSL 1,13337; 29926; 51815; 51873; 9760; BAA-2768,,True
Providencia rettgeri,Providencia rettgeri,Providencia,587,Morganellaceae,4,Proteus hauseri; Proteus mirabilis; Proteus vulgaris; Xenorhabdus japonica,gram_negative_enterobacterales,"UTI, wound infection; NDM carbapenemase reservoir",False,False,genus,15,6,True,BSL 1; BSL 2,14505; 25932; 29944; 33671; 51595; BAA-2525,intrinsic polymyxin resistance,True
Pluralibacter gergoviae,Pluralibacter gergoviae,Pluralibacter,61647,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,"nosocomial outbreaks, preservative-resistant contaminant",False,False,genus,5,5,True,BSL 2,33028; 33426; 33427; 33428; BAA-2770,,True
Brevundimonas diminuta,Brevundimonas diminuta,Brevundimonas,293,Caulobacteraceae,0,,gram_negative_nonfermenter,line-associated bacteraemia in immunocompromised hosts,False,False,genus,15,4,True,BSL 1,11568; 13184; 19146; 19146-MINI-PACK,,True
Comamonas testosteroni,Comamonas testosteroni,Comamonas,285,Comamonadaceae,1,Delftia acidovorans,gram_negative_nonfermenter,"bacteraemia, peritonitis, endocarditis",False,False,genus,23,4,True,BSL 1,11996; 15666; 25094; 700441,,True
Eikenella corrodens,Eikenella corrodens,Eikenella,539,Neisseriaceae,3,Neisseria gonorrhoeae; Neisseria meningitidis; Neisseria mucosa,gram_negative_fastidious,"HACEK endocarditis, human-bite and head/neck abscess",False,False,genus,5,4,True,BSL 2,23834; 43278; 51724; BAA-1152,,True
Leptospira interrogans,Leptospira interrogans,Leptospira,173,Leptospiraceae,0,,spirochete_or_microaerophile,leptospirosis,False,False,genus,19,4,True,BSL 2,23581; 43642; 43782; BAA-1198,"slow growth, special media; poor MIC target",True
Providencia alcalifaciens,Providencia alcalifaciens,Providencia,126385,Morganellaceae,4,Proteus hauseri; Proteus mirabilis; Proteus vulgaris; Xenorhabdus japonica,gram_negative_enterobacterales,"traveller's diarrhoea, enteric infection",False,False,genus,5,4,True,BSL 1; BSL 2,27970; 27971; 51902; 9886,,True
Rothia mucilaginosa,Rothia mucilaginosa,Rothia,43675,Micrococcaceae,5,Arthrobacter globiformis; Kocuria rhizophila; Micrococcus luteus; Micrococcus yunnanensis,gram_positive,"bacteraemia in neutropenic and CF patients, endocarditis",False,False,genus,5,4,True,BSL 1,25296; 49040; 49041; 49042,,True
Treponema denticola,Treponema denticola,Treponema,158,Treponemataceae,0,,spirochete_or_microaerophile,periodontitis,False,False,genus,6,4,True,BSL 1,33520; 33521; 35404; 35405,,True
Finegoldia magna,Finegoldia magna,Finegoldia,1260,Peptoniphilaceae,2,Parvimonas micra; Peptoniphilus asaccharolyticus,anaerobe,"prosthetic joint infection, diabetic foot, soft-tissue abscess",False,False,genus,5,3,True,BSL 1,14955; 15794; 29328,,True
Kingella kingae,Kingella kingae,Kingella,504,Neisseriaceae,3,Neisseria gonorrhoeae; Neisseria meningitidis; Neisseria mucosa,gram_negative_fastidious,"paediatric septic arthritis, osteomyelitis, endocarditis",False,False,genus,3,3,True,BSL 2,23330; 23331; 23332,,True
Leclercia adecarboxylata,Leclercia adecarboxylata,Leclercia,83655,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,line infection in immunocompromised hosts,False,False,genus,8,3,True,BSL 1,23216; 27984; 700325,,True
Plesiomonas shigelloides,Plesiomonas shigelloides,Plesiomonas,703,Enterobacteriaceae,24,Citrobacter freundii; Citrobacter koseri; Citrobacter werkmanii; Cronobacter muytjensii,gram_negative_enterobacterales,"gastroenteritis, rare sepsis and meningitis",False,False,genus,4,3,True,BSL 2,14029; 51572; 51903,,True
Abiotrophia defectiva,Abiotrophia defectiva,Abiotrophia,46125,Aerococcaceae,1,Aerococcus viridans,gram_positive,culture-negative endocarditis,False,False,genus,2,2,True,BSL 2,49176; 700209,,False
Akkermansia muciniphila,Akkermansia muciniphila,Akkermansia,239935,Akkermansiaceae,0,,anaerobe,gut commensal,False,False,genus,2,2,True,BSL 1,BAA-2869; BAA-835,already surfaced by the in-house workbook screen,False
Arcanobacterium haemolyticum,Arcanobacterium haemolyticum,Arcanobacterium,28264,Actinomycetaceae,4,Actinomyces israelii; Actinomyces naeslundii; Actinomyces viscosus; Actinotignum schaalii,gram_positive,"pharyngitis in adolescents, skin and soft-tissue infection",False,False,genus,3,2,True,BSL 2,9345; BAA-1784,,False
