species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Providencia stuartii,43664,Providencia stuartii,FP1527,BSL 1,True,https://genomes.atcc.org/genomes/23a05af9fef74d37,False,True,Bile,Bacteria
Providencia stuartii,43665,Providencia stuartii,FP1528,BSL 1,True,https://genomes.atcc.org/genomes/a6d160e5476a4e9f,False,True,Bile,Bacteria
Providencia stuartii,43258,Providencia stuartii,P306 carrying plasmid pUB2660,BSL 1,True,https://genomes.atcc.org/genomes/8d68548c58b4462c,False,True,,Bacteria
Providencia stuartii,49809,Providencia stuartii,AmMS 256,BSL 1,True,https://genomes.atcc.org/genomes/5e9770fafca640b6,False,True,Clinical isolate,Bacteria
Providencia stuartii,49762,Providencia stuartii,164,BSL 1,True,https://genomes.atcc.org/genomes/f71df647fef64076,False,True,Clinical isolate,Bacteria
Providencia stuartii,29914,Providencia stuartii,CDC 2896-68,BSL 1,True,https://genomes.atcc.org/genomes/bac4c442bbed4a2f,True,True,,Bacteria
Providencia stuartii,29851,Providencia stuartii,40,BSL 1,True,https://genomes.atcc.org/genomes/a1d76e4b43b04c72,False,True,Clinical isolate,Bacteria
Providencia stuartii,33672,Providencia stuartii,495 [CDC N1083],BSL 1,True,https://genomes.atcc.org/genomes/83a6e1779cc948f9,False,True,,Bacteria
Providencia stuartii,35031,Providencia stuartii,C141,BSL 1,True,https://genomes.atcc.org/genomes/e152cc0b7ec64a6e,False,True,,Bacteria
Providencia stuartii,33700,Providencia stuartii,PV 63 [364],BSL 1,True,https://genomes.atcc.org/genomes/981c21f40f4448a5,False,True,Clinical isolate,Bacteria
Providencia stuartii,25827,Providencia stuartii,NCDC 3646-51,BSL 1,True,https://genomes.atcc.org/genomes/3e3bd61460304601,False,True,Feces,Bacteria
Providencia stuartii,25826,Providencia stuartii,NCDC 5394-50 [DSM 6676],BSL 1,False,,False,True,Feces,Bacteria
Providencia stuartii,25825,Providencia stuartii,NCDC 247,BSL 1,False,,False,False,Pericardium at post mortem,Bacteria
Providencia rettgeri,BAA-2525,Providencia rettgeri,bMx# 1103204,BSL 2,True,https://genomes.atcc.org/genomes/3356b84ff228483e,False,True,Clinical isolate from BioMerieux,Bacteria
Providencia rettgeri,9250,Providencia rettgeri,"[ATCC 6907, IFO 13501, NCTC 1501]",BSL 2,False,,False,True,Dysentery,Bacteria
Providencia rettgeri,51595,Providencia rettgeri,B1,BSL 2,True,https://genomes.atcc.org/genomes/433c5d6450ef402b,False,True,Nitramine explosive-contaminated soil,Bacteria
Providencia rettgeri,43658,Providencia rettgeri,CDC 3120-1,BSL 1,False,,False,True,Clinical isolate,Bacteria
Providencia rettgeri,43657,Providencia rettgeri,CDC 3191-1,BSL 1,False,,False,True,Clinical isolate,Bacteria
Providencia rettgeri,9919,Providencia rettgeri,,BSL 1,False,,False,True,,Bacteria
Providencia rettgeri,9918,Providencia rettgeri,,BSL 1,False,,False,True,,Bacteria
Providencia rettgeri,29944,Providencia rettgeri,"1163 [CCUG 14804, CIP 103182, DSM 4542, JCM 1675, LMG 3259, NCTC 11801]",BSL 1,True,https://genomes.atcc.org/genomes/79f7311b3fd9409a,True,True,,Bacteria
Providencia rettgeri,35565,Providencia rettgeri,69,BSL 1,False,,False,True,Bile,Bacteria
Providencia rettgeri,33947,Providencia rettgeri,572-042,BSL 1,False,,False,True,,Bacteria
Providencia rettgeri,21118,Providencia rettgeri,CTC 0261,BSL 1,False,,False,False,,Bacteria
Providencia rettgeri,31052,Providencia rettgeri,FD 24746,BSL 1,False,,False,False,Derived from existing strain,Bacteria
Providencia rettgeri,33671,Providencia rettgeri,CDC 57718,BSL 1,True,https://genomes.atcc.org/genomes/3a5c137f65e945e9,False,True,,Bacteria
Providencia rettgeri,25932,Providencia rettgeri,NCDC 5431-69,BSL 1,True,https://genomes.atcc.org/genomes/387cc7e495354e59,False,True,Urine,Bacteria
Providencia rettgeri,14505,Providencia rettgeri,FDA strain PCI 702,BSL 1,True,https://genomes.atcc.org/genomes/7851b17bf9aa4719,False,True,,Bacteria
Providencia alcalifaciens,9886,Providencia alcalifaciens,,BSL 1,True,https://genomes.atcc.org/genomes/ec0f72bbe13f4a5c,True,True,Feces,Bacteria
Providencia alcalifaciens,51902,Providencia alcalifaciens,GNI 3,BSL 2,True,https://genomes.atcc.org/genomes/9faf76eed33640f3,False,True,,Bacteria
Providencia alcalifaciens,27970,Providencia alcalifaciens,CDC 3370-67,BSL 1,True,https://genomes.atcc.org/genomes/57e6e4ea7d5f4d35,False,True,Feces,Bacteria
Providencia alcalifaciens,25828,Providencia alcalifaciens,NCDC strain EEB,BSL 1,False,,False,False,Feces,Bacteria
Providencia alcalifaciens,27971,Providencia alcalifaciens,CDC 3055-67,BSL 1,True,https://genomes.atcc.org/genomes/acf2108eaf504fb0,False,True,Feces,Bacteria
Morganella morganii,23585,Morganella morganii subsp. morganii,"NCTC 2815 [ATCC 8076a, M. Pelczar M1]",BSL 2,True,https://genomes.atcc.org/genomes/a9a153ea6c424bc4,False,True,Blood and intestinal contents of green-billed toucan,Bacteria
Morganella morganii,23548,Morganella morganii subsp. morganii,NCTC 10041 [N-O-T1],BSL 2,False,,False,True,Floor polish,Bacteria
Morganella morganii,51204,Morganella morganii subsp. morganii,CDC 2866-78 [K16 (Bacty)],BSL 2,True,https://genomes.atcc.org/genomes/4edaf2a24d4b4244,False,True,Sputum,Bacteria
Morganella morganii,51202,Morganella morganii subsp. morganii,CDC 1939-76,BSL 2,True,https://genomes.atcc.org/genomes/fc232533a13b4e4c,False,True,Urine,Bacteria
Morganella morganii,51203,Morganella morganii subsp. morganii,CDC 1427-73 [73-406],BSL 2,True,https://genomes.atcc.org/genomes/b696c5a67657434a,False,True,Sputum,Bacteria
Morganella morganii,49994,Morganella morganii subsp. morganii,10109,BSL 2,True,https://genomes.atcc.org/genomes/ef8c890110ba4026,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,49993,Morganella morganii subsp. morganii,8066,BSL 2,True,https://genomes.atcc.org/genomes/f3a7fa922493462d,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,49991,Morganella morganii subsp. morganii,7650,BSL 2,True,https://genomes.atcc.org/genomes/f2b267a2d0f44b2d,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,49992,Morganella morganii subsp. morganii,2854-3,BSL 2,True,https://genomes.atcc.org/genomes/c715284e1fd04810,False,True,Patient with chronic struvite urolithiasis,Bacteria
