role,fold,member,path,size_bytes,sha256
base,,,Checkpoints/genome_text_learnable_emb/guidance_regressor_pad_no_mask/noise_guidance_best_R2_all_peptide_epoch_100.pth,9168011801,f24faf670b804edebbd4d6530a42c1351b62040046e14ebded67335aefc9c3a4
ensemble,0,0,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_0.ckpt,2238287881,e6dafd37e36a8980ffa850c84c84ce55d76ad29e02fa6538ffde71bb54f49d1b
ensemble,0,1,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_1.ckpt,2238287881,a61c3d6aff0faf90b09097e51b79d34cc35245c3e5eb2f979fb5f50c3814663d
ensemble,0,2,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_2.ckpt,2238287881,b3eecbc664bf24994563faaa84d918fe78ab28fe9b4f004b47ef1529244cffb0
ensemble,0,3,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_3.ckpt,2238287881,ad9bf17fb2750e543a155da999dd9b1839ffc09fdd6952d46401345762a58a94
ensemble,0,4,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_4.ckpt,2238287881,01cff1326b51b4d2a68d14c08696baf0e925ce985b3feae61815956f08b0f401
ensemble,0,5,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_5.ckpt,2238287881,be6b174914d9ec6c6f0e1ab623f145560816ba2376d8fe1bee52270d5c051a7b
ensemble,0,6,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_0_ensemble_6.ckpt,2238287881,3a5dd400d5341bb935097c890c8bc8fd38dbd3b3c5cd9cdba7dd9cc24d5b66e4
ensemble,1,0,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_0.ckpt,2238287881,743a260f3ca5ea06dd669fb2b3ff90abb8a14d45d5a3a960dad4dca2ae74e48e
ensemble,1,1,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_1.ckpt,2238287881,cf728f39ff0c1f7840de05a78571803093181ff4099d09061f51135b19324fe3
ensemble,1,2,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_2.ckpt,2238287881,a5f98abe22b86a389332d66bb7f41512965b25ba8f5e758f373755d736616f4f
ensemble,1,3,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_3.ckpt,2238287881,449fab676a75b38a6304e4b16537389473beb20c4ad991d1eb4ef5a3410179cb
ensemble,1,4,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_4.ckpt,2238287881,8e91103199ebfb976626420f400dc4873ee45044d90f8583fa048b216814045e
ensemble,1,5,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_5.ckpt,2238287881,62f4a621052243e82b54a230464915969e42da1e5f67f4397181476a082689d1
ensemble,1,6,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_1_ensemble_6.ckpt,2238287881,f5cdfa1e1b660172db85c15fa609855ae5d6788336cd786938b2a124a05e47e1
ensemble,2,0,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_0.ckpt,2238287881,16bf082d06a895d89edc724b30acec1eea2c3a4f9990d64c42e519542944f162
ensemble,2,1,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_1.ckpt,2238287881,ca81a42033e9a4b4030a804778b729b5f9c20ccf0512c99d95827c587c7ba67f
ensemble,2,2,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_2.ckpt,2238287881,a55d7ab021347cc44dc0776e7c6aaaa4cd07d5fb12e169097bbf21c7e05fdf23
ensemble,2,3,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_3.ckpt,2238287881,0c05d85ad6a8e574755ab0f74defb5fba993717486201e981ca5c5dd8137b38e
ensemble,2,4,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_4.ckpt,2238287881,933b51c986d56c4f06cde7962cb6ad4e40dd0b331cb2a364674bfd889a7efe3c
ensemble,2,5,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_5.ckpt,2238287881,ec0260976216b3c82fd223cb1eb0adb1ac467e9ded4cab69dc093dc0d9151f80
ensemble,2,6,Checkpoints/genome_text_learnable_emb/strain_wise_synergy/MDLM_3_fold_ensembles_1_base_model_cls/fold_2_ensemble_6.ckpt,2238287881,35bf10e5c1220bd1c394142bd7d17bdd4521366e0f76da5a8a39a03bb2d0b53b
