apexoracle_id,target_strain,topology,sequence_nearest_ids,max_pairwise_pid,structural_nearest_ids,max_pairwise_tanimoto
ApexOracle-1,BAA-3197,linear,ApexOracle-4,0.34375,ApexOracle-5,0.8046875
ApexOracle-2,BAA-3197,linear,ApexOracle-7,0.21428571428571427,ApexOracle-20,0.6090225563909775
ApexOracle-3,BAA-3197,linear,ApexOracle-18,0.2857142857142857,ApexOracle-4,0.7623762376237624
ApexOracle-4,BAA-3197,linear,ApexOracle-1,0.34375,ApexOracle-3,0.7623762376237624
ApexOracle-5,BAA-3197,linear,ApexOracle-1,0.2903225806451613,ApexOracle-11,0.856
ApexOracle-6,BAA-3197,linear,ApexOracle-16,0.26666666666666666,ApexOracle-11,0.7952755905511811
ApexOracle-7,BAA-3197,linear,ApexOracle-4,0.29411764705882354,ApexOracle-18,0.7387387387387387
ApexOracle-8,BAA-3197,linear,ApexOracle-10,0.22727272727272727,ApexOracle-10,0.671875
ApexOracle-9,BAA-3197,linear,ApexOracle-1,0.3333333333333333,ApexOracle-20,0.6792452830188679
ApexOracle-10,BAA-3197,linear,ApexOracle-11,0.24,ApexOracle-11,0.7910447761194029
ApexOracle-11,BAA-3197,linear,ApexOracle-7,0.2777777777777778,ApexOracle-5,0.856
ApexOracle-12,BAA-3197,linear,ApexOracle-17,0.25,ApexOracle-17,0.756578947368421
ApexOracle-13,BAA-3197,cyclic,ApexOracle-15,0.25,ApexOracle-24,0.572463768115942
ApexOracle-14,BAA-3197,cyclic,ApexOracle-23,0.8947368421052632,ApexOracle-23,0.7033898305084746
ApexOracle-15,BAA-3197,cyclic,ApexOracle-14,0.2608695652173913,ApexOracle-22,0.6326530612244898
ApexOracle-16,BAA-3170,linear,ApexOracle-1,0.30303030303030304,ApexOracle-11,0.7244094488188977
ApexOracle-17,BAA-3170,linear,ApexOracle-12,0.25,ApexOracle-12,0.756578947368421
ApexOracle-18,BAA-3170,linear,ApexOracle-21,0.32,ApexOracle-20,0.7714285714285715
ApexOracle-19,BAA-3170,linear,ApexOracle-4,0.2631578947368421,ApexOracle-9,0.6122448979591837
ApexOracle-20,BAA-3170,linear,ApexOracle-21,0.32142857142857145,ApexOracle-18,0.7714285714285715
ApexOracle-21,BAA-3170,linear,ApexOracle-20,0.32142857142857145,ApexOracle-10,0.6212121212121212
ApexOracle-22,BAA-3170,cyclic,ApexOracle-15,0.22727272727272727,ApexOracle-15,0.6326530612244898
ApexOracle-23,BAA-3170,cyclic,ApexOracle-14,0.8947368421052632,ApexOracle-14,0.7033898305084746
ApexOracle-24,BAA-3170,cyclic,ApexOracle-14,0.24,ApexOracle-22,0.5793103448275863
