genome_id,file,bytes,sha256,shape,dtype,per_row_sum_min,per_row_sum_max
4875,Acidipropionibacterium_acidipropionici_ATCC_4875.pt,3947512,16dd3efa20e46d90fba3fef2139ac72119559e10fd5af9e31e4ecda73c2485b4,367x5376,torch.bfloat16,3.0003132820129395,3.001291275024414
15308,Acinetobacter_baumannii_ATCC_15308.pt,4334514,3fbb33e9dae12cc933e4111c2d410e245f09a450577cada36bc079f0d2f0fc52,403x5376,torch.bfloat16,2.9969863891601562,3.001166343688965
17961,Acinetobacter_baumannii_ATCC_17961.pt,4323762,f1ab157bbdb560be6a0424b3384f912544e5541d2426cfd26241af81162d22fe,402x5376,torch.bfloat16,2.997422218322754,3.0012707710266113
17978,Acinetobacter_baumannii_ATCC_17978.pt,4409778,1179eb6905044c44acccc727a833c89488b8e788a40b837a7ec7e2453f1d6f74,410x5376,torch.bfloat16,2.999094009399414,3.0010809898376465
19606,Acinetobacter_baumannii_ATCC_19606.pt,4313010,63f09bf63bb462534f5679c3b0625da692fdf7c119e0de03c73031f0462b7075,401x5376,torch.bfloat16,2.9989891052246094,3.0011672973632812
BAA-1605,Acinetobacter_baumannii_ATCC_BAA_1605.pt,4366785,62e3608a4410401af337ca43758ce3236f04b051ff6602824e999d919ad06c32,406x5376,torch.bfloat16,2.9977951049804688,3.0012083053588867
BAA-1710,Acinetobacter_baumannii_ATCC_BAA_1710.pt,4280769,ccd319dda71c4fc87fd37aab47b832c75e5a9d435231426bca2b9d60d0d86c0b,398x5376,torch.bfloat16,2.9988174438476562,3.0020389556884766
BAA-1794,Acinetobacter_baumannii_ATCC_BAA_1794.pt,4302273,af7be3fd0caf0504ea3ac01d47d3c07bdb30702a43f15ae1fa229ca3d8c50bf0,400x5376,torch.bfloat16,2.9977035522460938,3.002976417541504
BAA-1798,Acinetobacter_baumannii_ATCC_BAA_1798.pt,4356033,276cc6ec10dbe2f587927858d3dc2f28bd540434e73124f8ed0ebbe27a1c33c8,405x5376,torch.bfloat16,2.997295379638672,3.0037612915039062
BAA-1800,Acinetobacter_baumannii_ATCC_BAA_1800.pt,4323777,ac01b0b2e7d7d8e5b4edfeb84c50556ac757d7aa8a20a88f279e7a44647af257,402x5376,torch.bfloat16,3.000185012817383,3.0033440589904785
BAA-747,Acinetobacter_baumannii_ATCC_BAA_747.pt,4334524,1ae0c1f23facb8466314f4d1cd0c5d6900a38d6229c23675618db48473d81208,403x5376,torch.bfloat16,2.998746871948242,3.001126766204834
33304,Acinetobacter_baylyi_ATCC_33304.pt,4087203,30d836400b7db2e69ffa2a7e82913a0c5c2ab8633ce63dc7be64ec2a62a72624,380x5376,torch.bfloat16,2.995609760284424,3.0025711059570312
23055,Acinetobacter_calcoaceticus_ATCC_23055.pt,4248518,0eb3bd7941f48d160fb6cf970a6e3926483edf72a7653c7bff0ab44912076700,395x5376,torch.bfloat16,3.0002403259277344,3.001657485961914
17908,Acinetobacter_junii_ATCC_17908.pt,3700062,ecab5d81c23b74edd4fa3128a6f4e9c8830a793480b88125ea44c18787b72e8c,344x5376,torch.bfloat16,2.9960708618164062,3.0041046142578125
15309,Acinetobacter_lwoffii_ATCC_15309.pt,3700136,2afc5011faf839ed506ee313952e36eeec6af2854675f1c19f2b25e85d6b183e,344x5376,torch.bfloat16,2.9962387084960938,3.002086639404297
12104,Actinomyces_naeslundii_ATCC_12104.pt,3313069,a665aa1196228cfe4590144b6ecb450e68e76adc5d957dee9dbe9e2632513489,308x5376,torch.bfloat16,2.9996719360351562,3.001169204711914
15987,Actinomyces_viscosus_ATCC_15987.pt,3775395,03e33cd942244a80bc5cfb76cea2637905faf03093ca8ee92be76651f8a8ac47,351x5376,torch.bfloat16,2.9983139038085938,3.002368927001953
700406,Aerococcus_viridans_ATCC_700406.pt,2280803,8853e90be50003cf073f69cafc78f0d9d591a6b9032f3d8a144d84099512169d,212x5376,torch.bfloat16,2.9991226196289062,3.0029296875
35654,Aeromonas_hydrophila_ATCC_35654.pt,5097891,3f5e6826ba6814f9aba1a6382125ae54750c5bde008def5ff137e286b78bed1e,474x5376,torch.bfloat16,3.0003509521484375,3.001220703125
49140,Aeromonas_hydrophila_ATCC_49140.pt,5259171,ad41f83c43ff0eaff5958dc1a4d89854c8c37340e761f701651e591d619e3821,489x5376,torch.bfloat16,2.9996604919433594,3.0016422271728516
7966,Aeromonas_hydrophila_ATCC_7966.pt,5108574,279bb44a96c49d628860f33bcce4070e9e51b17af53a4d73842ad871dd2db1b5,475x5376,torch.bfloat16,2.9973526000976562,3.001105308532715
33658,Aeromonas_salmonicida_subsp_salmonicida_ATCC_33658.pt,5259266,8392acdf370035fe2a8974c82a416c19ccfa432611251cdebecc06149be11166,489x5376,torch.bfloat16,2.997171401977539,3.001832962036133
43979,Aeromonas_sobria_ATCC_43979.pt,5162319,d4bbf535007dc3231bb2bcdc6fa3acd37b220431d58b93d1d2e71dc5afeefc4d,480x5376,torch.bfloat16,2.9991979598999023,3.0014543533325195
35624,Aeromonas_veronii_ATCC_35624.pt,4947284,0a500149c4dddd82a193ef1a70412937abaa114bd35b6d6f1af9593f1173f384,460x5376,torch.bfloat16,2.996532440185547,3.001819133758545
29522,Aggregatibacter_actinomycetemcomitans_ATCC_29522.pt,2323960,e1f6a70d95dfd424774990f37888142a579de11c903db056a6716adbd5f2f5c4,216x5376,torch.bfloat16,2.999654769897461,3.001162052154541
29523,Aggregatibacter_actinomycetemcomitans_ATCC_29523.pt,2495992,3cb9e11817d0a6c74cef747cb8be21adb4c393a790e5c7b1053fab124d0717ec,232x5376,torch.bfloat16,2.9984130859375,3.0011277198791504
8750,Alcaligenes_faecalis_subsp_faecalis_ATCC_8750.pt,4388329,e826d696615fc4ce9287751425dd035af7bf125d82a64c3e59834ff449e8fc9e,408x5376,torch.bfloat16,2.995992660522461,3.0012283325195312
49025,Alicyclobacillus_acidoterrestris_ATCC_49025.pt,4689375,5585d484ebbabe98eb19ec9f2ed5ee5a328124b08eb2f822beeadd08c2dc9f90,436x5376,torch.bfloat16,2.9990062713623047,3.001193046569824
51259,Alloprevotella_tannerae_ATCC_51259.pt,2807730,6e27a6b6d38c8d341b8b242705e7fc24fcf7b717b83bc48b5bdfb2aa7c5c4842,261x5376,torch.bfloat16,3.0002708435058594,3.001098155975342
66981,Alternaria_alternata_ATCC_66981.pt,36117411,947a5849999376144034a6c971ed96d5ec9f457e6464ee85cd679378ae47efb4,3359x5376,torch.bfloat16,2.9975109100341797,3.002224922180176
22342,Aspergillus_awamori_ATCC_22342.pt,39084894,5b9d6fb70e0ae770b0d5e8f6923185282f6089d5db381d8637e0832f1e57a481,3635x5376,torch.bfloat16,2.995199680328369,3.0048675537109375
